name,year,sust_winds_mph,pressure_hpa,category
Joyce,2000,90.0,975.0,1
Gabrielle,2001,80.0,975.0,1
Karen,2001,80.0,982.0,1
Noel,2001,75.0,986.0,1
Olga,2001,90.0,973.0,1
Kyle,2002,85.0,980.0,1
Claudette,2003,90.0,979.0,1
Danny,2003,75.0,1000.0,1
Erika,2003,75.0,986.0,1
Gaston,2004,75.0,985.0,1
Lisa,2004,75.0,987.0,1
Cindy,2005,75.0,991.0,1
Nate,2005,90.0,976.0,1
Ophelia,2005,85.0,976.0,1
Philippe,2005,80.0,985.0,1
Stan,2005,80.0,977.0,1
Vince,2005,75.0,988.0,1
Epsilon,2005,85.0,981.0,1
Ernesto,2006,75.0,985.0,1
Florence,2006,90.0,974.0,1
Isaac,2006,85.0,985.0,1
Humberto,2007,90.0,985.0,1
Karen,2007,75.0,988.0,1
Lorenzo,2007,80.0,990.0,1
Noel,2007,80.0,980.0,1
Hanna,2008,85.0,977.0,1
Kyle,2008,85.0,984.0,1
Lisa,2010,85.0,982.0,1
Otto,2010,85.0,976.0,1
Shary,2010,75.0,989.0,1
Maria,2011,80.0,983.0,1
Nate,2011,75.0,994.0,1
Philippe,2011,90.0,976.0,1
Chris,2012,85.0,974.0,1
Isaac,2012,80.0,965.0,1
Leslie,2012,80.0,968.0,1
Nadine,2012,90.0,978.0,1
Humberto,2013,90.0,979.0,1
Ingrid,2013,85.0,983.0,1
Bertha,2014,80.0,998.0,1
Cristobal,2014,85.0,965.0,1
Fay,2014,80.0,983.0,1
Fred,2015,85.0,986.0,1
Kate,2015,85.0,980.0,1
Alex,2016,85.0,981.0,1
Earl,2016,85.0,979.0,1
Hermine,2016,80.0,981.0,1
Franklin,2017,85.0,981.0,1
Nate,2017,90.0,981.0,1
Beryl,2018,80.0,991.0,1
Isaac,2018,75.0,995.0,1
Leslie,2018,90.0,968.0,1
Barry,2019,75.0,993.0,1
Pablo,2019,80.0,977.0,1
Hanna,2020,90.0,973.0,1
Isaias,2020,85.0,987.0,1
Marco,2020,75.0,991.0,1
Nana,2020,75.0,994.0,1
Five,1852,105.0,969.0,2
Eight,1853,105.0,996.0,2
Four,1854,105.0,965.0,2
One,1855,105.0,,2
Two,1855,105.0,,2
Two,1857,105.0,961.0,2
Four,1857,105.0,,2
Three,1858,105.0,979.0,2
Six,1858,105.0,,2
One,1859,105.0,,2
Two,1859,105.0,982.0,2
Four,1859,105.0,,2
Two,1860,100.0,,2
Four,1860,100.0,969.0,2
Six,1860,105.0,969.0,2
Seven,1860,105.0,,2
One,1861,105.0,,2
Three,1861,105.0,958.0,2
Two,1862,105.0,,2
Three,1862,105.0,,2
One,1863,105.0,,2
Two,1863,105.0,,2
Three,1863,105.0,975.0,2
Four,1863,105.0,,2
Four,1865,105.0,969.0,2
Seven,1865,105.0,969.0,2
One,1866,105.0,969.0,2
Two,1866,105.0,,2
Four,1866,105.0,,2
Two,1867,105.0,969.0,2
Three,1867,105.0,,2
Six,1867,105.0,,2
Seven,1867,105.0,969.0,2
One,1868,105.0,,2
Three,1868,105.0,,2
Four,1868,105.0,,2
One,1869,105.0,,2
Two,1869,105.0,969.0,2
Seven,1869,105.0,979.0,2
Ten,1869,105.0,965.0,2
Two,1870,105.0,,2
Nine,1870,105.0,970.0,2
Ten,1870,105.0,,2
Five,1871,105.0,,2
Two,1872,105.0,,2
Seven,1874,105.0,,2
Five,1875,105.0,,2
Four,1876,105.0,,2
Four,1878,105.0,972.0,2
Five,1878,105.0,970.0,2
Six,1878,105.0,,2
Eleven,1878,105.0,963.0,2
Two,1879,105.0,964.0,2
Eight,1879,105.0,968.0,2
Four,1880,105.0,972.0,2
Five,1881,105.0,970.0,2
Six,1881,105.0,975.0,2
Four,1884,105.0,980.0,2
Two,1885,105.0,953.0,2
One,1886,100.0,997.0,2
Two,1886,100.0,,2
Three,1886,100.0,999.0,2
Eight,1886,100.0,973.0,2
Nine,1886,100.0,990.0,2
Four,1887,100.0,981.0,2
Eight,1887,105.0,963.0,2
Nine,1887,100.0,973.0,2
Fifteen,1887,105.0,975.0,2
Seven,1888,110.0,970.0,2
Nine,1888,100.0,982.0,2
Four,1889,105.0,981.0,2
Six,1889,110.0,985.0,2
Four,1891,100.0,,2
Five,1891,100.0,980.0,2
Six,1891,100.0,981.0,2
Three,1892,100.0,,2
Five,1892,100.0,,2
Seven,1892,100.0,,2
Two,1893,100.0,,2
Five,1893,100.0,,2
Seven,1893,100.0,,2
Eight,1893,100.0,973.0,2
Two,1895,110.0,963.0,2
Five,1895,105.0,973.0,2
One,1896,100.0,,2
Three,1896,100.0,,2
Five,1896,100.0,,2
Six,1896,100.0,,2
One,1897,100.0,972.0,2
Four,1898,110.0,965.0,2
Two,1899,100.0,979.0,2
Four,1899,105.0,,2
Nine,1899,110.0,955.0,2
Three,1900,100.0,,2
Seven,1901,105.0,991.0,2
Three,1902,100.0,981.0,2
Four,1902,105.0,970.0,2
Four,1903,100.0,990.0,2
Six,1903,110.0,988.0,2
Seven,1903,100.0,,2
Two,1906,105.0,979.0,2
One,1908,100.0,991.0,2
Eight,1908,110.0,971.0,2
Nine,1908,105.0,,2
Two,1909,100.0,972.0,2
Twelve,1909,105.0,,2
Three,1910,110.0,965.0,2
Four,1910,100.0,,2
Three,1911,100.0,972.0,2
Four,1911,100.0,990.0,2
Six,1912,100.0,970.0,2
Four,1915,100.0,982.0,2
Three,1916,105.0,980.0,2
Seven,1916,110.0,997.0,2
Fourteen,1916,110.0,970.0,2
Two,1918,105.0,968.0,2
Five,1918,110.0,972.0,2
One,1920,110.0,985.0,2
Two,1920,100.0,975.0,2
Four,1922,110.0,984.0,2
Two,1923,105.0,989.0,2
Four,1924,110.0,965.0,2
Five,1926,105.0,1000.0,2
Eight,1926,105.0,978.0,2
Four,1927,110.0,967.0,2
One,1928,105.0,971.0,2
Seven,1931,100.0,987.0,2
Fifteen,1932,100.0,973.0,2
Two,1933,110.0,965.0,2
Thirteen,1933,110.0,960.0,2
One,1934,100.0,966.0,2
Seven,1934,105.0,967.0,2
Ten,1934,100.0,984.0,2
Seven,1935,105.0,964.0,2
Five,1936,105.0,964.0,2
Ten,1936,110.0,959.0,2
Fifteen,1936,105.0,977.0,2
Four,1937,100.0,992.0,2
Eight,1937,100.0,982.0,2
Two,1940,100.0,972.0,2
Three,1940,100.0,972.0,2
Four,1940,110.0,961.0,2
Five,1940,100.0,988.0,2
Seven,1940,100.0,977.0,2
Four,1942,110.0,,2
Eleven,1942,110.0,992.0,2
One,1943,105.0,967.0,2
Six,1943,100.0,,2
Nine,1943,110.0,,2
Nine,1944,100.0,,2
One,1945,100.0,985.0,2
Eleven,1945,100.0,982.0,2
Four,1946,100.0,975.0,2
Six,1946,100.0,977.0,2
Charlie,1947,110.0,977.0,2
King,1947,105.0,965.0,2
One,1949,110.0,974.0,2
Eleven,1949,110.0,965.0,2
Baker,1950,105.0,978.0,2
Charlie,1950,110.0,974.0,2
George,1950,110.0,960.0,2
Item,1950,105.0,976.0,2
How,1951,100.0,972.0,2
Able,1952,100.0,980.0,2
Baker,1952,110.0,969.0,2
Easy,1952,105.0,968.0,2
Alice,1954,110.0,975.0,2
Thirteen,1954,100.0,964.0,2
Diane,1955,105.0,969.0,2
Edith,1955,105.0,967.0,2
Flora,1955,105.0,967.0,2
Katie,1955,110.0,984.0,2
Greta,1956,100.0,970.0,2
Ella,1958,110.0,983.0,2
Ilsa,1958,110.0,956.0,2
Janice,1958,100.0,968.0,2
Anna,1961,105.0,976.0,2
Daisy,1962,105.0,963.0,2
Ella,1962,110.0,958.0,2
Edith,1963,100.0,990.0,2
Ginny,1963,110.0,948.0,2
Ethel,1964,105.0,974.0,2
